id,locationid,applicant,Facilitytype,facilitytype,cnn,full_address,address,permit,Status,status,latitude,longitude,schedule,approved,Received,expiration
1,1152244,San Francisco's Hometown Creamery,Truck,1,6109000,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),281 GEARY ST,17MFF-0001,APPROVED,2,37.7871364910861,-122.407718509001,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0001&ExportPDF=1&Filename=17MFF-0001_schedule.pdf,10/16/2018 12:00:00 AM,2017-01-09,07/15/2019 12:00:00 AM
2,751253,Pipo's Grill,Truck,1,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,16MFF-0010,REQUESTED,1,37.7678524427181,-122.416104892532,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0010&ExportPDF=1&Filename=16MFF-0010_schedule.pdf,,2016-02-04,
3,735318,Ziaurehman Amini,Push Cart,2,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,15MFF-0159,REQUESTED,1,37.7943310032468,-122.395811053023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,2015-12-31,03/15/2016 12:00:00 AM
4,364218,The Chai Cart,Push Cart,2,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,12MFF-0083,SUSPEND,4,37.7878896999061,-122.400535326777,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,,2012-04-03,
5,1184059,DO UC US Mobile Catering,Truck,1,185104,03RD ST: MISSION BAY BLVD to WARRIORS WAY (1401 - 1599) -- EAST --,1501 03RD ST,18MFF-0054,APPROVED,2,37.7708922310318,-122.389169231483,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0054&ExportPDF=1&Filename=18MFF-0054_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
6,1193830,Eva's Catering,Truck,1,1009000,20TH AVE: LAWTON ST to MORAGA ST (1600 - 1699),1650 20TH AVE,18MFF-0086,APPROVED,2,37.7579841905286,-122.433465780407,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0086&ExportPDF=1&Filename=18MFF-0086_schedule.pdf,07/26/2018 12:00:00 AM,2018-07-26,07/15/2019 12:00:00 AM
7,1181837,Anas Goodies Catering,Truck,1,12482000,TENNESSEE ST: MARIPOSA ST to 18TH ST (600 - 699),640 TENNESSEE ST,18MFF-0048,APPROVED,2,37.7635404839296,-122.390096643663,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
8,1181879,Quan Catering,Truck,1,2826101,BAY SHORE BLVD: VISITACION AVE to SUNNYDALE AVE (2501 - 2599) -- EAST --,2555 BAY SHORE BLVD,18MFF-0049,APPROVED,2,37.7093754640014,-122.404154378509,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0049&ExportPDF=1&Filename=18MFF-0049_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
9,1219123,Halal Cart of San Francisco,Push Cart,2,8737101,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,18MFF-0105,APPROVED,2,37.7938715071506,-122.394865238621,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0105&ExportPDF=1&Filename=18MFF-0105_schedule.pdf,09/12/2018 12:00:00 AM,2018-09-12,07/15/2019 12:00:00 AM
10,1157312,Senor Sisig,Truck,1,5170000,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,18MFF-0022,APPROVED,2,37.7856100863691,-122.408154764345,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0022&ExportPDF=1&Filename=18MFF-0022_schedule.pdf,06/04/2018 12:00:00 AM,2018-05-10,07/15/2019 12:00:00 AM
